ID,Name,play_debut
andew102,Walter Anderson,05/14/1917
andir001,Robert Andino,09/04/2005
andrb101,Bill Andrus,09/19/1931
andrc001,Clayton Andrews,04/16/2000
andre001,Elvis Andrus,04/06/2009
andre101,Ed Andrews,05/01/1884
andre102,Elbert Andrews,05/01/1925
andre103,Ernie Andres,04/16/1946
andrf101,Fred Andrews,09/26/1976
andrf102,Fred Andrus,07/25/1876
andrh101,Hub Andrews,04/20/1947
andri101,Ivy Andrews,08/15/1931
andrj001,John Andreoli,05/23/2018
andrj101,John Andrews,04/08/1973
andrj102,John Andre,04/16/1955
andrj103,Jim Andrews,04/19/1890
andrk101,Kim Andrew,04/16/1975
andrm001,Matt Andriese,04/10/2015
andrm101,Mike Andrews,09/18/1966
andrn101,Nate Andrews,05/01/1937
andrr101,Rob Andrews,04/07/1975
andrs001,Shane Andrews,04/26/1995
andrs002,Steve Andrade,05/01/2006
andrs101,Stan Andrews,06/11/1939
andrw101,Wyman Andrus,09/15/1885
andrw102,Wally Andrews,05/22/1884
anduj001,Joaquin Andujar,04/08/1976
andul001,Luis Andujar,09/08/1995
andum001,Miguel Andujar,06/28/2017
angen101,Norm Angelini,07/22/1972
anglm001,Matt Angle,07/17/2011
anglt101,Tom Angley,04/23/1929
ankep101,Pat Ankenman,04/16/1936
ankir001,Rick Ankiel,08/23/1999
annad001,Dean Anna,04/04/2014
annib101,Bill Annis,05/01/1884
ansoc101,Cap Anson,05/06/1871
anthe001,Eric Anthony,07/28/1989
antob101,Bill Antonello,04/30/1953
antod001,Dustin Antolin,05/16/2016
antoj101,John Antonelli,09/16/1944
antoj102,Joe Antolick,09/20/1944
antoj103,Johnny Antonelli,07/04/1948
antom001,Matt Antonelli,09/01/2008
antot001,Tejay Antone,07/27/2020
aokin001,Nori Aoki,04/06/2012
aparl101,Luis Aparicio,04/17/1956
apodb101,Bob Apodaca,09/18/1973
aponl001,Luis Aponte,09/04/1980
aposs001,Sherten Apostel,09/12/2020
appik001,Kevin Appier,06/04/1989
apple101,Ed Appleton,04/16/1915
applf101,Fred Applegate,09/30/1904
appll101,Luke Appling,09/10/1930
applp101,Pete Appleton,09/14/1927
aquia001,Aristides Aquino,08/19/2018
aquig001,Greg Aquino,07/02/2004
aquij001,Jayson Aquino,07/04/2016
aquil001,Luis Aquino,08/08/1986
araga101,Angel Aragon,08/20/1914
aragj101,Jack Aragon,08/13/1941
aranv001,Victor Arano,09/12/2017
araue001,Elvis Araujo,05/05/2015
arauj001,Jonathan Arauz,07/24/2020
araup001,Pedro Araujo,03/31/2018
archc001,Chris Archer,06/20/2012
archf101,Fred Archer,09/05/1936
archg101,George Archie,09/14/1938
archj101,Jim Archer,04/30/1961
archj102,Jimmy Archer,09/06/1904
archm101,Maurice Archdeacon,09/17/1923
arcif001,Francisco Arcia,07/26/2018
arcij101,Jose Arcia,04/10/1968
arcio001,Oswaldo Arcia,04/15/2013
arcio002,Orlando Arcia,08/02/2016
arded101,Dan Ardell,09/14/1961
ardir101,Rugger Ardizoia,04/30/1947
ardnj101,Joe Ardner,05/01/1884
ardod001,Danny Ardoin,08/02/2000
arelf101,Frank Arellanes,07/17/1908
arenj001,J.P. Arencibia,08/07/2010
arenn001,Nolan Arenado,04/28/2013
arfth101,Hank Arft,07/27/1948
ariaa001,Alex Arias,05/12/1992
ariaa002,Alberto Arias,05/01/2007
ariag001,George Arias,04/02/1996
ariaj001,Joaquin Arias,09/13/2006
ariar101,Rudy Arias,04/10/1959
arleb101,Buzz Arlett,04/14/1931
arlid101,Don Arlich,10/02/1965
