Link,Name,From-Team,From-Franchise,# Transactions,# Players Traded Away,# Players Traded For,# Players Total,First Year,Last Year,Year Span,Ongoing,Comp Picks,total_WAR_out,total_WAR_in,WAR_total,total_G_out,total_G_in,G_total,total_PA_out,total_PA_in,PA_total,total_IP_out,total_IP_in,IP_total,total_salary_out,total_salary_in,salary_total
<a href=/player/podss001>podss001</a>,Scott Podsednik,Boston Red Sox,RSOX,1,2,1,3,2012,2015,3,No,0,0.39,1.0,0.61,46,199,153,0,0,0,63.0,597.0,534.0,1075000.0,0.0,-1075000.0
<a href=/player/pofaj101>pofaj101</a>,Jimmy Pofahl,Washington Senators,TWINS,1,3,1,4,1943,1943,0,No,0,7.97,3.2,-4.77,391,117,-274,1546,505,-1041,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/pofaj101>pofaj101</a>,Jimmy Pofahl,Minneapolis,Minneapolis,1,1,4,5,1939,1946,7,No,0,-2.62,0.0,2.62,225,0,-225,849,0,-849,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/poffj101>poffj101</a>,John Poff,Milwaukee Brewers,BREWRS,2,2,2,4,1981,1982,1,No,0,-0.91,-0.41,0.5,22,42,20,50,112,62,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/pohot101>pohot101</a>,Tom Poholsky,St. Louis Cardinals,CARDS,15,35,30,65,1956,1972,16,No,0,38.58,60.99,22.41,4144,2647,-1497,9926,7589,-2337,4766.0,5429.0,663.0,32500.0,0.0,-32500.0
<a href=/player/pohot101>pohot101</a>,Tom Poholsky,Chicago Cubs,CUBS,2,2,2,4,1957,1958,1,No,0,0.0,-0.27,-0.27,0,14,14,0,1,1,0.0,22.0,22.0,0.0,0.0,0.0
<a href=/player/poina101>poina101</a>,Aaron Pointer,Houston Astros,ASTROS,1,1,1,2,1968,1969,1,No,0,0.0,0.08,0.08,0,10,10,0,17,17,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/poinj101>poinj101</a>,Jennings Poindexter,Philadelphia Phillies,PHILS,1,2,1,3,1939,1940,1,No,0,0.0,0.32,0.32,0,69,69,0,222,222,0.0,0.0,0.0,3000.0,0.0,-3000.0
<a href=/player/polah101>polah101</a>,Hugh Poland,New York Giants,GIANTS,1,2,1,3,1943,1947,4,No,0,7.61,8.14,0.53,725,472,-253,2750,1521,-1229,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/polah101>polah101</a>,Hugh Poland,Philadelphia Phillies,PHILS,1,2,1,3,1947,1949,2,No,0,23.82,-2.12,-25.94,519,88,-431,570,262,-308,4467.0,2.0,-4465.0,0.0,0.0,0.0
<a href=/player/polap001>polap001</a>,Placido Polanco,St. Louis Cardinals,CARDS,2,4,4,8,2002,2009,7,No,0,23.28,30.12,6.84,951,826,-125,3803,3406,-397,107.0,0.0,-107.0,7000000.0,0.0,-7000000.0
