ID,Last,First,nickname,play_debut,HOF
aingd101,Ainge,Daniel Ray,Danny,05/21/1979,NOT
ainse101,Ainsmith,Edward Wilbur,Eddie,08/09/1910,NOT
ainsk001,Ainsworth,Kurt Harold,Kurt,09/05/2001,NOT
aitcr101,Aitchison,Raleigh Leonidas,Raleigh,04/19/1911,NOT
aitog101,Aiton,George Wilson,George,06/29/1912,NOT
ake-j101,Ake,John Leckie,John,05/12/1884,NOT
akerb101,Akers,William G.,Bill,09/08/1929,NOT
akerd001,Akerfelds,Darrel Wayne,Darrel,08/01/1986,NOT
akerj101,Akers,Albert Earl,Jerry,05/04/1912,NOT
akerj102,Aker,Jackie Delane,Jack,05/03/1964,NOT
akink001,Akin,Keegan Lee,Keegan,08/14/2020,
akiys001,Akiyama,Shogo,Shogo,07/24/2020,
alanr001,Alaniz,Ruben,R.J.,04/12/2019,
albag001,Alba,Gibson Alberto (Rosado),Gibson,05/03/1988,NOT
albaj001,Albaladejo,Jonathan (Santana),Jonathan,09/05/2007,NOT
albaj101,Albanese,Joseph Peter,Joe,07/18/1958,NOT
albea001,Albers,Andrew William,Andrew,08/06/2013,NOT
albeb101,Alberts,Francis Burt,Butch,09/07/1978,NOT
albec101,Alberts,Frederick Joseph,Cy,09/17/1910,NOT
albeg101,Alberts,Augustus Peter,Gus,05/01/1884,NOT
albeh001,Alberto,Hanser Joel (Pena),Hanser,05/29/2015,NOT
albej001,Alberro,Jose Edgardo,Jose,04/27/1995,NOT
albem001,Albers,Matthew James,Matt,07/25/2006,NOT
albio001,Albies,Ozhaino Jurdy Jiandro,Ozzie,08/01/2017,NOT
alboe101,Albosta,Edward John,Ed,09/03/1941,NOT
albre101,Albrecht,Edward Arthur,Ed,10/02/1949,NOT
albrj101,Albright,Harold John,Jack,05/19/1947,NOT
albua001,Alburquerque,Alberto Jose,Al,04/15/2011,NOT
albuv101,Albury,Victor,Vic,08/07/1973,NOT
alcaa001,Alcantara,Arismendy,Arismendy,07/09/2014,NOT
alcai001,Alcantara,Israel (Cristosomo),Israel,06/25/2000,NOT
alcaj001,Alcala,Jorge Luis,Jorge,09/21/2019,
alcal101,Alcaraz,Angel Luis (Acosta),Luis,09/13/1967,NOT
alcar001,Alcantara,Raul,Raul,09/05/2016,NOT
alcas001,Alcantara,Sandy (Montero),Sandy,09/03/2017,NOT
alcas002,Alcantara,Sergio Junior,Sergio,09/06/2020,
alcas101,Alcala,Santo,Santo,04/10/1976,NOT
alcav001,Alcantara,Victor Alfonso,Victor,09/05/2017,NOT
alcos101,Alcock,John Forbes,Scotty,04/19/1914,NOT
alded101,Alderson,Dale Leonard,Dale,09/18/1943,NOT
aldrc001,Aldridge,Cory Jerome,Cory,09/05/2001,NOT
aldrj001,Aldrich,Jay Robert,Jay,06/05/1987,NOT
aldrm001,Aldrete,Michael Peter,Mike,05/28/1986,NOT
aldrs001,Aldred,Scott Phillip,Scott,09/09/1990,NOT
aldrv101,Aldridge,Victor,Vic,04/15/1917,NOT
alenc101,Aleno,Charles,Chuck,05/15/1941,NOT
alexa001,Alexy,Adam John,A.J.,08/30/2021,
alexb101,Alexander,Robert Somerville,Bob,04/11/1955,NOT
alexd001,Alexander,Doyle Lafayette,Doyle,06/26/1971,NOT
alexd101,Alexander,David Dale,Dale,04/16/1929,NOT
alexg001,Alexander,Gerald Paul,Gerald,09/09/1990,NOT
alexg101,Alexander,Gary Wayne,Gary,09/12/1975,NOT
alexg102,Alexander,Grover Cleveland,Pete,04/15/1911,HOF
alexh101,Alexander,Hugh,Hugh,08/15/1937,NOT
alexm001,Alexander,Manuel de Jesus,Manny,09/18/1992,NOT
alexm101,Alexander,Matthew,Matt,08/23/1973,NOT
alexn101,Alexander,William Henry,Nin,06/07/1884,NOT
alexs001,Alexander,Scott Alain,Scott,09/02/2015,NOT
alext001,Alexander,Tyler John,Tyler,07/03/2019,
alexw101,Alexander,Walter Ernest,Walt,06/21/1912,NOT
alfaj001,Alfaro,Jason,Jason,09/09/2004,NOT
alfaj002,Alfaro,Jorge Mario (Buelvas),Jorge,09/12/2016,NOT
alfoa001,Alfonseca,Antonio,Antonio,06/17/1997,NOT
alfoa002,Alford,Anthony Joseph,Anthony,05/19/2017,NOT
alfoe001,Alfonzo,Edgardo Antonio,Edgardo,04/26/1995,NOT
alfoe002,Alfonzo,Eliezer Jesus,Eliezer,06/03/2006,NOT
alicl001,Alicea,Luis Rene (de Jesus),Luis,04/23/1988,NOT
allaa001,Allanson,Andrew Neal,Andy,04/07/1986,NOT
allab101,Allard,Brian Marshall,Brian,08/08/1979,NOT
allak001,Allard,Kolby Kenneth,Kolby,07/31/2018,NOT
allea001,Allen,Austin Michael,Austin,05/11/2019,
alleb001,Allen,Brandon Durell,Brandon,08/22/2009,NOT
alleb101,Allen,Robert Gray,Bob,04/14/1961,NOT
alleb102,Allen,Robert Earl,Bob,09/19/1937,NOT
alleb103,Allen,Robert Gilman,Bob,04/19/1890,NOT
alleb104,Allen,Robert,Bob,08/20/1919,NOT
alleb105,Allen,Bernard Keith,Bernie,04/10/1962,NOT
allec001,Allen,John Chad,Chad,04/06/1999,NOT
allec002,Allen,Cody Edward,Cody,07/20/2012,NOT
alled001,Allen,Dustin R.,Dusty,07/01/2000,NOT
alled101,Allen,Richard Anthony,Dick,09/03/1963,NOT
allee101,Allen,Ethan Nathan,Ethan,06/13/1926,NOT
allef101,Allen,Frank Leon,Frank,04/24/1912,NOT
alleg001,Allenson,Gary Martin,Gary,04/08/1979,NOT
alleg002,Allen,Gregory Lomack,Greg,09/01/2017,NOT
alleg101,Alley,Leonard Eugene,Gene,09/04/1963,NOT
alleh101,Allen,Horace Tanner,Horace,06/15/1919,NOT
alleh102,Allen,Frank Erwin,Ham,04/27/1872,NOT
alleh103,Allen,Hezekiah,Hezekiah,05/16/1884,NOT
alleh104,Allen,Harold Andrew,Hank,09/09/1966,NOT
allej001,Allensworth,Jermaine LaMont,Jermaine,07/23/1996,NOT
allej101,Allen,James Bradley,Jamie,05/01/1983,NOT
allej102,Allen,John Thomas,Johnny,04/19/1932,NOT
allej103,Allen,Cyrus Alban,Jack,05/01/1879,NOT
allej104,Allen,John Marshall,John,06/02/1914,NOT
allek101,Allen,Kim Bryant,Kim,09/02/1980,NOT
allel001,Allen,Lucas Gale,Luke,09/10/2002,NOT
allel002,Allen,Logan Shane,Logan,06/18/2019,
allel101,Allen,Lloyd Cecil,Lloyd,09/01/1969,NOT
allem101,Allen,Myron Smith,Myron,07/19/1883,NOT
allen001,Allen,Neil Patrick,Neil,04/15/1979,NOT
allen101,Allen,Artemus Ward,Nick,05/01/1914,NOT
allep101,Allen,Jesse Hall,Pete,08/04/1893,NOT
aller001,Allen,Roderick Bernet,Rod,04/07/1983,NOT
aller101,Allen,Ronald Frederick,Ron,08/11/1972,NOT
alles101,Allen,Fletcher Manson,Sled,05/04/1910,NOT
allgn001,Allgeyer,Nick,Nick,07/02/2021,
allia101,Allison,Arthur Algernon,Art,05/04/1871,NOT
allia102,Allison,Andrew Kent,Andy,05/07/1872,NOT
allib101,Allietta,Robert George,Bob,05/06/1975,NOT
allib102,Allison,William,Bill,05/21/1872,NOT
allib103,Allison,William Robert,Bob,09/16/1958,NOT
allid001,Allison,Dana Eric,Dana,04/12/1991,NOT
allid101,Allison,Douglas L.,Doug,05/05/1871,NOT
allig101,Allie,Gair Roosevelt,Gair,04/13/1954,NOT
allim101,Allison,Milo Henry,Milo,09/26/1913,NOT
allim102,Allison,Mack Pendleton,Mack,09/13/1911,NOT
allrb001,Allred,Dale LeBeau,Beau,09/07/1989,NOT
almaa001,Almanza,Armando,Armando,07/29/1999,NOT
almac001,Almanzar,Carlos Manuel (Giron),Carlos,09/04/1997,NOT
almam101,Almada,Baldomero Melo (Quiros),Mel,09/08/1933,NOT
almer101,Almeida,Rafael D.,Rafael,07/04/1911,NOT
almoa001,Almonte,Abraham,Abraham,08/30/2013,NOT
almoa002,Almora,Reinaldo Albert,Albert,06/07/2016,NOT
almob001,Almon,William Francis,Bill,09/02/1974,NOT
almoe001,Almonte,Erick R. (Moreta),Erick,09/04/2001,NOT
almoe002,Almonte,Edwin,Edwin,07/07/2003,NOT
almoh001,Almonte,Hector Radhames (Moreta),Hector,07/26/1999,NOT
almom001,Almonte,Miguel Emilio,Miguel,09/01/2015,NOT
almoy001,Almonte,Yency,Yency,06/21/2018,NOT
almoz001,Almonte,Zoilo,Zoilo,06/19/2013,NOT
aloml101,Aloma,Luis (Barba),Luis,04/19/1950,NOT
alomr001,Alomar,Roberto (Velazquez),Roberto,04/22/1988,HOF
aloms001,Alomar,Santos (Velazquez),Sandy,09/30/1988,NOT
aloms101,Alomar,Santos (Conde),Sandy,09/15/1964,NOT
alonp001,Alonso,Peter Morgan,Pete,03/28/2019,
alony001,Alonso,Yonder,Yonder,09/01/2010,NOT
alouf101,Alou,Felipe Rojas,Felipe,06/08/1958,NOT
alouj101,Alou,Jesus Maria Rojas,Jesus,09/10/1963,NOT
aloum001,Alou,Moises Rojas,Moises,07/26/1990,NOT
aloum101,Alou,Mateo Rojas,Matty,09/26/1960,NOT
