signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Kyle Drabek,Billy Wagner,2006,Kyle,Drabek,Billy,Wagner,drabk001,wagnb001
Ian Kennedy,Tom Gordon,2006,Ian,Kennedy,Tom,Gordon,kenni001,gordt001
Colton Willems,Esteban Loaiza,2006,Colton,Willems,Esteban,Loaiza,Colton Willems,loaie001
Hank Conger,Paul Byrd,2006,Hank,Conger,Paul,Byrd,congh001,byrdp001
Bryan Morris,Jeff Weaver,2006,Bryan,Morris,Jeff,Weaver,morrb002,weavj002
Daniel Bard,Johnny Damon,2006,Daniel,Bard,Johnny,Damon,bardd001,damoj001
Preston Mattingly,Jeff Weaver,2006,Preston,Mattingly,Jeff,Weaver,Preston Mattingly,weavj002
Pedro Beato,B.J. Ryan,2006,Pedro,Beato,B.J.,Ryan,beatp001,ryanb001
Emmanuel Burriss,Scott Eyre,2006,Emmanuel,Burriss,Scott,Eyre,burre001,eyres001
Brooks Brown,Tim Worrell,2006,Brooks,Brown,Tim,Worrell,browb005,worrt002
Kyler Burke,Ramon Hernandez,2006,Kyler,Burke,Ramon,Hernandez,Kyler Burke,hernr002
Chris Coghlan,A.J. Burnett,2006,Chris,Coghlan,A.J.,Burnett,coghc001,burna001
Adrian Cardenas,Billy Wagner,2006,Adrian,Cardenas,Billy,Wagner,carda001,wagnb001
Cory Rasmus,Kyle Farnsworth,2006,Cory,Rasmus,Kyle,Farnsworth,rasmc002,farnk001
David Huff,Bob Howry,2006,David,Huff,Bob,Howry,huffd001,howrb001
Kris Johnson,Johnny Damon,2006,Kris,Johnson,Johnny,Damon,johnk004,damoj001
Joba Chamberlain,Tom Gordon,2006,Joba,Chamberlain,Tom,Gordon,chamj002,gordt001
Chris Perez,Matt Morris,2006,Chris,Perez,Matt,Morris,perec002,morrm001
Steve Evarts,Rafael Furcal,2006,Steve,Evarts,Rafael,Furcal,Steve Evarts,furcr001
Caleb Clay,Bill Mueller,2006,Caleb,Clay,Bill,Mueller,Caleb Clay,muelb001
Jeff Locke,Rafael Furcal,2006,Jeff,Locke,Rafael,Furcal,lockj001,furcr001
Chad Huffman,Ramon Hernandez,2006,Chad,Huffman,Ramon,Hernandez,huffc001,hernr002
Brad Furnish,Matt Morris,2006,Brad,Furnish,Matt,Morris,Brad Furnish,morrm001
Steven Wright,Kevin Millwood,2006,Steven,Wright,Kevin,Millwood,wrigs001,millk004
Josh Rodriguez,Bob Howry,2006,Josh,Rodriguez,Bob,Howry,rodrj003,howrb001
Ryan Adams,B.J. Ryan,2006,Ryan,Adams,B.J.,Ryan,adamr003,ryanb001
Stephen Englund,Hector Carrasco,2006,Stephen,Englund,Hector,Carrasco,Stephen Englund,carrh001
Chase Fontaine,Kyle Farnsworth,2006,Chase,Fontaine,Kyle,Farnsworth,Chase Fontaine,farnk001
Matt McBride,Scott Elarton,2006,Matt,McBride,Scott,Elarton,mcbrm002,elars001
Mark Hamilton,Abraham Nunez,2006,Mark,Hamilton,Abraham,Nunez,hamim001,nunea001
Aaron Bates,Bill Mueller,2006,Aaron,Bates,Bill,Mueller,batea001,muelb001
Dallas Buck,Tim Worrell,2006,Dallas,Buck,Tim,Worrell,Dallas Buck,worrt002
Clayton Tanner,Scott Eyre,2006,Clayton,Tanner,Scott,Eyre,Clayton Tanner,eyres001
Torre Langley,A.J. Burnett,2006,Torre,Langley,A.J.,Burnett,Torre Langley,burna001
Whitney Robbins,Jacque Jones,2006,Whitney,Robbins,Jacque,Jones,Whitney Robbins,jonej003
Kevin Ahrens,Frank Catalanotto,2007,Kevin,Ahrens,Frank,Catalanotto,Kevin Ahrens,cataf001
Blake Beavan,Carlos Lee,2007,Blake,Beavan,Carlos,Lee,beavb001,lee-c001
Chris Withrow,Julio Lugo,2007,Chris,Withrow,Julio,Lugo,withc001,lugoj001
Tim Alderson,Jason Schmidt,2007,Tim,Alderson,Jason,Schmidt,Tim Alderson,schmj001
